path,kind,status,bytes,pages,fonts,vs_v12,finding
01-Brand-Identity/Logo/png/EDM-Logo-Mono-Green-1200.png,image,live,74265,,,unchanged,
01-Brand-Identity/Logo/png/EDM-Logo-Primary-1200.png,image,live,92503,,,unchanged,
01-Brand-Identity/Logo/png/EDM-Logo-Primary-2400.png,image,live,228493,,,unchanged,
01-Brand-Identity/Logo/png/EDM-Logo-Primary-600.png,image,live,37382,,,unchanged,
01-Brand-Identity/Logo/svg/EDM-Cube-Mark-White.svg,image,live,189590,,,unchanged,
01-Brand-Identity/Logo/svg/EDM-Cube-Mark.svg,image,live,189590,,,unchanged,
01-Brand-Identity/Logo/svg/EDM-Logo-Mono-Black.svg,image,live,564848,,,unchanged,
01-Brand-Identity/Logo/svg/EDM-Logo-Mono-Green.svg,image,live,564848,,,unchanged,
01-Brand-Identity/Logo/svg/EDM-Logo-Primary.svg,image,live,564848,,,unchanged,
01-Brand-Identity/Logo/svg/EDM-Logo-Reversed-White.svg,image,live,564848,,,unchanged,
02-Website/Go-Live-Guide.pdf,document,output,130944,4,HDGQXH+Montserrat-Bold;HQFGZV+Montserrat;IKCJUC+DejaVu-Sans-Mono;UWGIWA+DejaVu-Sans-Bold;XJHXHJ+Montserrat-Semi-Bold,unchanged,D5 four-markets footer; DejaVu font (second family)
02-Website/edm-site/404.html,source/app,live,7822,,,unchanged,
02-Website/edm-site/EDM-Holdings-Capability-Statement.pdf,document,output,604124,19,HDGQXH+Montserrat-Bold;HQFGZV+Montserrat;XJHXHJ+Montserrat-Semi-Bold,changed,
02-Website/edm-site/EDM-Holdings-Corporate-Brochure.pdf,document,output,589423,17,HDGQXH+Montserrat-Bold;HQFGZV+Montserrat;XJHXHJ+Montserrat-Semi-Bold,changed,
02-Website/edm-site/about.html,source/app,live,16844,,,unchanged,
02-Website/edm-site/aluminium-glazing.html,source/app,live,11732,,,unchanged,
02-Website/edm-site/assets/apple-touch-icon.png,image,live,18906,,,unchanged,
02-Website/edm-site/assets/christopher-simon.jpg,image,live,125660,,,unchanged,
02-Website/edm-site/assets/damien-meenan.jpg,image,live,92360,,,unchanged,
02-Website/edm-site/assets/eddie-duffy.jpg,image,live,69425,,,unchanged,
02-Website/edm-site/assets/edm-base.css,code,live,10941,,,unchanged,W2 dead token aliases; W3 .btn.solid hover = resting colour; W4 .sec.tint is white; W9 card border 1.26:1
02-Website/edm-site/assets/edm-fonts.css,code,live,930,,,unchanged,W1 Montserrat 500 + italic declared (outside the four-weight system)
02-Website/edm-site/assets/edm-landing.css,code,live,7579,,,unchanged,
02-Website/edm-site/assets/edm-logo.png,image,live,84191,,,unchanged,
02-Website/edm-site/assets/edm-logo.svg,image,live,564848,,,unchanged,
02-Website/edm-site/assets/edm-whatsapp.css,code,live,288,,,unchanged,
02-Website/edm-site/assets/favicon-32.png,image,live,2028,,,unchanged,
02-Website/edm-site/assets/favicon.ico,image,live,6485,,,unchanged,
02-Website/edm-site/assets/favicon.png,image,live,54524,,,unchanged,
02-Website/edm-site/assets/favicon.svg,image,live,189590,,,unchanged,
02-Website/edm-site/assets/fonts/montserrat-300.woff2,font,live,18708,,,unchanged,
02-Website/edm-site/assets/fonts/montserrat-400.woff2,font,live,18780,,,unchanged,
